Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1uF","C_0805_2012Metric",8.000000,13.000000,-90.000000,top
"C102","1uF","C_0805_2012Metric",6.000000,13.000000,-90.000000,top
"C103","1uF","C_0805_2012Metric",4.000000,13.000000,-90.000000,top
"C104","1uF","C_0805_2012Metric",2.000000,13.000000,-90.000000,top
"D101","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",8.000000,35.000000,0.000000,top
"J101","USB4500-03-0-A","USB_C_Receptacle_USB4500-03-0-A",15.000000,3.200000,0.000000,top
"R101","5K1","R_0603_1608Metric",9.825000,8.500000,180.000000,top
"R102","5K1","R_0603_1608Metric",20.500000,8.500000,0.000000,top
"R103","5K1","R_0603_1608Metric",17.250000,27.000000,0.000000,top
"SW101","430172085816","btn_momentary_430172085816",22.000000,35.000000,180.000000,top
"U101","ESP32-S2-MINI-1","ESP32-S2-MINI-1",17.700000,17.350000,-90.000000,top
"U102","AMS1117-3.3","SOT-223-3_TabPin2",5.000000,20.000000,90.000000,top
